     kz              E+_uu           E+_vv           E+_ww           E+_pp
  1.5066667e+02   2.1417910e-03   8.3038112e-04   3.5904888e-04   2.5722840e-03
  1.5133333e+02   2.1039077e-03   8.1635653e-04   3.5315591e-04   2.5334300e-03
  1.5200000e+02   2.0916072e-03   8.0883188e-04   3.4735650e-04   2.4861140e-03
  1.5266667e+02   2.0522951e-03   7.9286470e-04   3.4119974e-04   2.4455798e-03
  1.5333333e+02   2.0297077e-03   7.8332954e-04   3.3618968e-04   2.3998426e-03
  1.5400000e+02   1.9903622e-03   7.7224573e-04   3.2855410e-04   2.3636770e-03
  1.5466667e+02   1.9715941e-03   7.6278100e-04   3.2407279e-04   2.3141920e-03
  1.5533333e+02   1.9466301e-03   7.5474026e-04   3.1723187e-04   2.2887327e-03
  1.5600000e+02   1.9155007e-03   7.3938442e-04   3.1183545e-04   2.2505281e-03
  1.5666667e+02   1.8863321e-03   7.3171824e-04   3.0690801e-04   2.2118620e-03
  1.5733333e+02   1.8561830e-03   7.2275520e-04   3.0312856e-04   2.1748057e-03
  1.5800000e+02   1.8237093e-03   7.0890006e-04   2.9592089e-04   2.1429917e-03
  1.5866667e+02   1.8075306e-03   7.0168745e-04   2.9262239e-04   2.1060370e-03
  1.5933333e+02   1.7914460e-03   6.9080365e-04   2.8736737e-04   2.0634138e-03
  1.6000000e+02   1.7709480e-03   6.8440652e-04   2.8249825e-04   2.0317398e-03
  1.6066667e+02   1.7412978e-03   6.7195207e-04   2.7714901e-04   2.0020590e-03
  1.6133333e+02   1.7098352e-03   6.6543940e-04   2.7257092e-04   1.9629732e-03
  1.6200000e+02   1.6889883e-03   6.5537610e-04   2.6901687e-04   1.9357861e-03
  1.6266667e+02   1.6572353e-03   6.4622015e-04   2.6270299e-04   1.9127873e-03
  1.6333333e+02   1.6395337e-03   6.3464342e-04   2.6016429e-04   1.8766746e-03
  1.6400000e+02   1.6234195e-03   6.2698280e-04   2.5484905e-04   1.8370897e-03
