     kx              E+_uu           E+_vv           E+_ww           E+_pp
  4.7250000e+01   2.7873633e-03   1.1043558e-03   2.1991397e-03   1.3491532e-02
  4.7500000e+01   2.7499513e-03   1.0949331e-03   2.1689303e-03   1.3343129e-02
  4.7750000e+01   2.7033327e-03   1.0952011e-03   2.1445431e-03   1.3275419e-02
  4.8000000e+01   2.6676370e-03   1.0760908e-03   2.1084159e-03   1.3023317e-02
  4.8250000e+01   2.6592705e-03   1.0713993e-03   2.1143809e-03   1.2981104e-02
  4.8500000e+01   2.5918089e-03   1.0554993e-03   2.0717709e-03   1.2806054e-02
  4.8750000e+01   2.5823307e-03   1.0527808e-03   2.0708021e-03   1.2660577e-02
  4.9000000e+01   2.5466832e-03   1.0473139e-03   2.0459194e-03   1.2532998e-02
  4.9250000e+01   2.5087556e-03   1.0354414e-03   2.0179409e-03   1.2560514e-02
  4.9500000e+01   2.4729062e-03   1.0265337e-03   1.9813792e-03   1.2327888e-02
  4.9750000e+01   2.4349515e-03   1.0182483e-03   1.9681049e-03   1.2195544e-02
  5.0000000e+01   2.4100285e-03   1.0109883e-03   1.9501321e-03   1.2105668e-02
  5.0250000e+01   2.3879494e-03   1.0000221e-03   1.9319343e-03   1.1986923e-02
  5.0500000e+01   2.3505956e-03   9.9008645e-04   1.9110084e-03   1.1915790e-02
  5.0750000e+01   2.3226375e-03   9.8272949e-04   1.8927890e-03   1.1739249e-02
  5.1000000e+01   2.2892684e-03   9.7179687e-04   1.8569748e-03   1.1607081e-02
  5.1250000e+01   2.2620300e-03   9.6975340e-04   1.8364191e-03   1.1460712e-02
  5.1500000e+01   2.2291510e-03   9.6051237e-04   1.8157786e-03   1.1353987e-02
  5.1750000e+01   2.2172948e-03   9.4694169e-04   1.8122763e-03   1.1208137e-02
  5.2000000e+01   2.1781295e-03   9.4116322e-04   1.7855373e-03   1.1190038e-02
  5.2250000e+01   2.1494083e-03   9.3082927e-04   1.7707640e-03   1.1061930e-02
  5.2500000e+01   2.1308069e-03   9.2715535e-04   1.7479839e-03   1.0897590e-02
  5.2750000e+01   2.1042842e-03   9.1610583e-04   1.7221718e-03   1.0863839e-02
  5.3000000e+01   2.0683687e-03   9.1088768e-04   1.7185125e-03   1.0777233e-02
